ID,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags
45789080.0,8781.0,761,TOYOTA,Prius,2015,Hatchback,No,Hybrid,1.8,589700 km,4,Automatic,Front,4-May,Left wheel,Black,12.0
43009722.0,19444.0,697,TOYOTA,Corolla LE,2000,Sedan,No,Petrol,1.8,266500 km,4,Automatic,Front,4-May,Left wheel,White,6.0
45788535.0,43905.0,-,TOYOTA,CHR,1989,Jeep,No,Petrol,2,47900 km,4,Tiptronic,Front,4-May,Left wheel,Sky blue,12.0
45504018.0,11604.0,-,BMW,330,2014,Sedan,No,Petrol,3,436600 km,6,Manual,Rear,4-May,Left wheel,Blue,4.0
45161909.0,43278.0,-,MERCEDES-BENZ,S 350 CDI 320,1990,Sedan,Yes,Diesel,3.2 Turbo,0 km,6,Tiptronic,Rear,4-May,Left wheel,Black,12.0
45682415.0,20385.0,-,HYUNDAI,Santa FE,2004,Jeep,Yes,Diesel,2.2,346400 km,6,Tiptronic,4x4,4-May,Left wheel,Silver,8.0
45525259.0,21012.0,1077,TOYOTA,CHR,2003,Jeep,Yes,Petrol,2,237500 km,4,Automatic,Front,4-May,Left wheel,Silver,12.0
45787908.0,21639.0,779,TOYOTA,Camry,2003,Sedan,Yes,Petrol,2.5,241200 km,5,Tiptronic,Front,4-May,Left wheel,Black,16.0
45730307.0,33823.0,831,SSANGYONG,Actyon,1993,Jeep,Yes,Petrol,1.6,113300 km,4,Automatic,Front,4-May,Left wheel,White,4.0
43277982.0,8467.0,1413,HONDA,FIT,2016,Hatchback,No,Petrol,1.5,622000 km,4,Automatic,Front,4-May,Right-hand drive,White,4.0
45487175.0,25089.0,528,FORD,Fiesta,2001,Sedan,No,Petrol,1.6 Turbo,258416 km,4,Manual,Front,4-May,Left wheel,Black,6.0
45571520.0,130.0,-,TOYOTA,Highlander,2022,Jeep,No,Hybrid,3.3,679600 km,6,Automatic,4x4,4-May,Left wheel,Grey,12.0
45733168.0,21181.0,642,HYUNDAI,Sonata,2006,Sedan,Yes,Petrol,2,290300 km,4,Automatic,Front,4-May,Left wheel,Silver,4.0
45584546.0,18817.0,1018,BMW,528,2007,Sedan,Yes,Petrol,3,448700 km,6,Tiptronic,Rear,4-May,Left wheel,Blue,10.0
45804415.0,26591.0,2108,LEXUS,LS 460,2002,Sedan,Yes,Petrol,4.6,138600 km,4,Automatic,Front,4-May,Left wheel,Silver,4.0
45738337.0,45473.0,-,BMW,M5 Japan,1986,Sedan,Yes,Petrol,5,0 km,10,Manual,Rear,4-May,Left wheel,Blue,10.0
45765167.0,4391.0,474,FIAT,500,2020,Jeep,Yes,Petrol,1.4,618200 km,4,Automatic,Front,4-May,Left wheel,Black,12.0
44794465.0,10506.0,1267,TOYOTA,Aqua,2015,Sedan,No,Hybrid,1.5,450600 km,4,Automatic,Front,4-May,Right-hand drive,Silver,2.0
45471734.0,36692.0,-,MERCEDES-BENZ,GL 320,1992,Jeep,Yes,Diesel,3.0 Turbo,157800,6,Tiptronic,4x4,4-May,Left wheel,Black,12.0
45598636.0,14113.0,1759,HONDA,Cr-v LX,2007,Jeep,No,Petrol,2.4,449400 km,4,Automatic,Front,4-May,Left wheel,Brown,0.0
45793307.0,5645.0,-,MERCEDES-BENZ,C 220,2018,Sedan,No,Petrol,2.2,611500 km,4,Manual,Rear,4-May,Left wheel,Black,4.0
45645674.0,941.0,1646,LEXUS,GX 460,2019,Jeep,Yes,Petrol,4.6,628200 km,8,Automatic,4x4,4-May,Left wheel,Black,0.0
45796993.0,30583.0,777,HYUNDAI,H1,1994,Minivan,Yes,Diesel,2.5,201000 km,4,Automatic,Front,4-May,Left wheel,Black,4.0
45695491.0,23521.0,585,TOYOTA,Prius V,2000,Minivan,Yes,Hybrid,1.8,325913 km,4,Variator,Front,4-May,Left wheel,White,10.0
45764913.0,46728.0,1811,LEXUS,GX 460,1987,Jeep,Yes,Petrol,4.6,0 km,8,Automatic,4x4,4-May,Left wheel,Black,0.0
45796912.0,12522.0,1024,HYUNDAI,H1,2005,Minivan,Yes,Diesel,2.5,425700 km,4,Automatic,Front,4-May,Left wheel,Yellow,4.0
45096132.0,8467.0,781,VOLKSWAGEN,Passat,2015,Sedan,No,Petrol,2.5,659800 km,4,Tiptronic,Front,4-May,Left wheel,Silver,12.0
45759885.0,282.0,2455,LEXUS,GX 470,2020,Jeep,Yes,Petrol,4.7,543949 km,8,Automatic,4x4,4-May,Left wheel,Black,0.0
45765939.0,44000.0,-,MERCEDES-BENZ,320,1991,Sedan,Yes,Diesel,3.0 Turbo,7300 km,6,Tiptronic,4x4,4-May,Left wheel,Black,12.0
44838566.0,15681.0,271,TOYOTA,Prius C,2010,Hatchback,No,Hybrid,1.5,494080 km,4,Tiptronic,Front,4-May,Left wheel,Red,8.0
45770572.0,28539.0,639,MAZDA,CX-5,1998,Jeep,No,Petrol,2,166800 km,4,Automatic,Front,4-May,Left wheel,Blue,12.0
45810211.0,23703.0,765,CHEVROLET,Malibu,2001,Sedan,Yes,Diesel,2,261500 km,4,Automatic,Front,4-May,Left wheel,White,4.0
45755930.0,6272.0,-,BMW,X5,2017,Jeep,Yes,Petrol,4.4,593800 km,8,Tiptronic,4x4,4-May,Left wheel,Grey,16.0
45655288.0,24775.0,917,AUDI,Q7,1999,Jeep,Yes,Petrol,3,180100 km,6,Automatic,4x4,4-May,Left wheel,Blue,0.0
45803891.0,24543.0,642,HYUNDAI,Tucson,1998,Jeep,Yes,Diesel,2,416400 km,4,Automatic,Front,4-May,Left wheel,Grey,4.0
45625981.0,157.0,1451,BMW,X5,2021,Sedan,Yes,Petrol,4.4,699100,8,Automatic,4x4,4-May,Left wheel,Black,0.0
45548151.0,10349.0,1267,TOYOTA,Aqua,2012,Hatchback,No,Hybrid,1.5,479700 km,4,Automatic,Front,4-May,Right-hand drive,Black,
45810826.0,3763.0,879,FORD,Fiesta,2019,Sedan,Yes,Petrol,1.6,490800 km,4,Automatic,Front,4-May,Left wheel,Grey,12.0
45750931.0,8154.0,1111,HONDA,FIT,2017,Universal,No,Hybrid,1.3,615000 km,4,Variator,Front,4-May,Right-hand drive,White,2.0
45809735.0,19306.0,501,TOYOTA,Aqua,2006,Hatchback,Yes,Petrol,1.5,348700 km,4,Automatic,Front,4-May,Left wheel,Black,4.0
45784866.0,17249.0,-,TOYOTA,Prius,2008,Sedan,No,Hybrid,1.8,380000 km,6,Automatic,Front,4-May,Left wheel,White,1.0
45813189.0,4704.0,382,FORD,Fusion,2019,Sedan,Yes,Hybrid,2,631000 km,4,Automatic,Front,4-May,Left wheel,Red,12.0
45800769.0,7213.0,-,SUZUKI,Grand Vitara,2002,Jeep,Yes,Petrol,2,0 km,4,Manual,4x4,4-May,Left wheel,Silver,4.0
45797528.0,36231.0,1091,HYUNDAI,H1,1994,Universal,Yes,Diesel,2.5,12400 km,4,Automatic,Front,4-May,Left wheel,Silver,4.0
45767611.0,1882.0,746,TOYOTA,Prius,2022,Sedan,Yes,Hybrid,1.5,677600 km,4,Automatic,Front,4-May,Left wheel,White,12.0
45655273.0,6429.0,917,AUDI,A7,2017,Hatchback,Yes,Petrol,3,580200 km,6,Automatic,4x4,4-May,Left wheel,Grey,0.0
45539804.0,30734.0,1399,MERCEDES-BENZ,E 350,1996,Sedan,Yes,Petrol,3.5,142200 km,6,Tiptronic,4x4,4-May,Left wheel,Black,12.0
45801836.0,14834.0,687,HYUNDAI,Elantra,2007,Sedan,Yes,Petrol,1.6,405600 km,4,Automatic,Front,4-May,Left wheel,Grey,4.0
45808452.0,1333.0,761,TOYOTA,Corolla,2022,Sedan,Yes,Petrol,1.8,553000 km,4,Automatic,Front,4-May,Left wheel,Silver,12.0
43662303.0,16900.0,1141,HONDA,Element,2008,Universal,No,Petrol,2.4,403900 km,4,Automatic,4x4,4-May,Left wheel,Silver,8.0
43390500.0,20385.0,-,MITSUBISHI,Delica,2001,Minivan,Yes,Petrol,3,335300 km,6,Automatic,4x4,4-May,Right-hand drive,White,12.0
45801503.0,30931.0,880,HYUNDAI,Elantra,1997,Sedan,Yes,Petrol,,173500 km,4,Automatic,Front,4-May,Left wheel,White,4.0
45649795.0,2509.0,1399,LEXUS,RX 450,2018,Jeep,Yes,Hybrid,3.5,598300 km,6,Automatic,4x4,4-May,Left wheel,Grey,12.0
45775733.0,6272.0,1357,OPEL,Astra,2017,Universal,No,Petrol,1.6,201149 km,4,Manual,Front,4-May,Left wheel,White,0.0
45614391.0,26343.0,777,TOYOTA,Camry,2014,Sedan,Yes,Petrol,2.5,,4,Tiptronic,Front,4-May,Left wheel,Silver,12.0
45792144.0,3293.0,586,HONDA,Civic,2022,Sedan,Yes,Petrol,1.8,624200 km,4,Automatic,Front,4-May,Left wheel,White,12.0
45757624.0,4077.0,1249,NISSAN,Altima,2018,Sedan,Yes,Petrol,2.5,627300 km,4,Automatic,Front,4-May,Left wheel,Black,12.0
45806671.0,2509.0,697,TOYOTA,Corolla,2018,Sedan,Yes,Petrol,1.8,801876 km,4,Automatic,Front,4-May,Left wheel,Grey,12.0
45733113.0,13799.0,639,,Sonata,2006,Sedan,Yes,LPG,2,60660 km,4,Automatic,Front,4-May,Left wheel,White,4.0
45510457.0,22894.0,-,HYUNDAI,Sonata,2002,Sedan,Yes,Hybrid,2.4,396800 km,6,Automatic,Front,4-May,Left wheel,Grey,6.0
45748851.0,3920.0,-,OPEL,Vectra,2021,Sedan,No,CNG,1.8,575700 km,4,Manual,Front,4-May,Left wheel,White,4.0
45734406.0,30.0,-,HONDA,FIT,2006,Hatchback,No,Petrol,1.3,0 km,4,Automatic,Front,4-May,Right-hand drive,Silver,4.0
45733383.0,26180.0,836,HYUNDAI,Sonata,2002,Sedan,Yes,Petrol,2,36009 km,4,Automatic,Front,4-May,Left wheel,White,4.0
45507290.0,4000.0,-,SUBARU,Forester,2018,Goods wagon,No,Petrol,2.5,593848,6,Tiptronic,4x4,4-May,Left wheel,White,4.0
45789956.0,29793.0,637,KIA,Sorento,1995,Jeep,Yes,Diesel,2,226800 km,4,Automatic,Front,4-May,Left wheel,White,4.0
45660168.0,4704.0,-,VOLKSWAGEN,Jetta,2018,Sedan,No,Petrol,2,656800 km,4,Manual,Front,4-May,Left wheel,Black,8.0
45759309.0,22580.0,-,TOYOTA,Camry,2003,Sedan,Yes,Petrol,2.5,118300 km,4,Tiptronic,Front,4-May,Left wheel,Carnelian red,12.0
45766577.0,13642.0,1172,MERCEDES-BENZ,E 350,2013,Sedan,Yes,Diesel,3.5,529700 km,6,Automatic,4x4,4-May,Left wheel,Blue,12.0
45754310.0,3607.0,761,TOYOTA,Corolla,2021,Sedan,Yes,Petrol,1.8,622200 km,4,Automatic,Front,4-May,Left wheel,Silver,12.0
44754818.0,11917.0,-,MERCEDES-BENZ,CLK 320,2010,Sedan,Yes,Petrol,3.2,551300 km,6,Automatic,Rear,2-Mar,Left wheel,Pink,8.0
45640542.0,4861.0,333,FORD,Fusion,2021,Sedan,Yes,Hybrid,2,710400 km,4,Automatic,Front,4-May,Left wheel,White,0.0
44094737.0,17249.0,-,TOYOTA,Prius,2006,Hatchback,No,Petrol,1.8,406200 km,4,Automatic,Front,4-May,Left wheel,Silver,12.0
45780736.0,8467.0,-,MERCEDES-BENZ,E 290,2016,Sedan,No,Diesel,2.9,495100 km,8,Manual,Rear,4-May,Left wheel,Purple,2.0
45801727.0,18531.0,583,HYUNDAI,Elantra,2005,Sedan,Yes,Petrol,1.6,408300 km,4,Automatic,Front,4-May,Left wheel,Silver,4.0
37779467.0,13000.0,-,MERCEDES-BENZ,Sprinter 308 CDI,2003,Microbus,No,Diesel,2.2,0 km,4,Manual,Rear,4-May,Left wheel,White,4.0
45758427.0,17249.0,781,TOYOTA,Camry,2013,Sedan,Yes,Petrol,2.5,322600 km,4,Automatic,Front,4-May,Left wheel,Silver,12.0
45797115.0,14062.0,966,HYUNDAI,Genesis,2012,Coupe,Yes,Petrol,2,466400,4,Automatic,Front,4-May,Left wheel,Grey,4.0
45815372.0,7840.0,-,MERCEDES-BENZ,E 200,2015,Sedan,No,CNG,2,379700 km,4,Manual,Rear,4-May,Left wheel,Black,4.0
45810789.0,7840.0,-,NISSAN,Vanette,2014,Goods wagon,No,Diesel,2.2,540900 km,2,Manual,Rear,4-May,Right-hand drive,White,3.0
45798325.0,11917.0,530,HYUNDAI,Elantra,2011,Sedan,Yes,Petrol,1.6,477800 km,4,Automatic,Front,4-May,Left wheel,White,4.0
45342484.0,37320.0,1055,MERCEDES-BENZ,E 350 Ã©ÂÂ¿Ã¦ÂÂ¥Ã¥ÂÂ§Ã©ÂÂ¿?2013,1989,Yes,Petrol,3.5,156800 km,157600 km,Tiptronic,4x4,4-May,Left wheel,Black,12,
45736700.0,17876.0,642,FORD,C-MAX,2007,Hatchback,No,Hybrid,2,404100 km,4,Automatic,Front,4-May,Left wheel,Silver,10.0
45799986.0,23521.0,934,TOYOTA,RAV 4,2015,Jeep,No,Petrol,2.5,0 km,4,Automatic,4x4,4-May,Left wheel,Black,0.0
45763626.0,314.0,862,FORD,Escape,2022,Jeep,Yes,Hybrid,2.5,737200 km,4,Automatic,4x4,4-May,,Green,0.0
45730780.0,18503.0,730,HYUNDAI,Elantra,2004,Sedan,Yes,LPG,1.6,455200 km,4,Automatic,Front,4-May,Left wheel,Silver,4.0
45641165.0,784.0,394,TOYOTA,Camry,2022,Sedan,Yes,Hybrid,2.5,611300 km,4,Automatic,Front,4-May,Left wheel,Black,12.0
45729912.0,470.0,382,LINCOLN,MKZ,2022,Sedan,Yes,Hybrid,2,652700 km,4,Automatic,Front,4-May,Left wheel,Red,10.0
45755971.0,17562.0,-,TOYOTA,Prius,2006,Hatchback,No,Hybrid,1.8,397500 km,4,Automatic,Front,4-May,Left wheel,Grey,6.0
45815398.0,23207.0,900,HYUNDAI,Sonata SPORT,2000,Sedan,Yes,Petrol,2.4,317114 km,4,Tiptronic,Front,4-May,Left wheel,Black,8.0
45680165.0,7840.0,-,NISSAN,Note,2014,Sedan,No,Petrol,,713600 km,4,Variator,Front,4-May,Right-hand drive,Golden,0.0
45804001.0,23505.0,639,HYUNDAI,Tucson,2001,Jeep,Yes,Diesel,2,225200 km,4,Automatic,Front,4-May,Left wheel,White,4.0
45788258.0,17876.0,,HYUNDAI,Elantra,2007,Sedan,No,Petrol,1.6,335833 km,4,Tiptronic,Front,4-May,Left wheel,Silver,8.0
45815384.0,8154.0,-,MERCEDES-BENZ,C 200 KOMPRESSOR,2017,Coupe,No,LPG,2,488900 km,4,Tiptronic,Rear,2-Mar,Right-hand drive,Grey,6.0
45808524.0,7840.0,1426,FORD,F150,2019,Sedan,Yes,Petrol,2.7,564200 km,6,Automatic,Rear,4-May,Left wheel,White,12.0
45771814.0,3136.0,924,TOYOTA,Corolla,2019,Sedan,Yes,Petrol,1.8,617500 km,4,Automatic,Front,4-May,Left wheel,Silver,12.0
45658568.0,314.0,1646,LEXUS,GX 460,2022,Jeep,Yes,Petrol,4.6,686000 km,8,Automatic,4x4,4-May,Left wheel,Black,0.0
45723475.0,19444.0,502,FORD,Fusion,2008,Sedan,No,Petrol,1.5 Turbo,408900 km,4,Automatic,Front,4-May,Left wheel,Black,8.0
45807594.0,188.0,765,MERCEDES-BENZ,GLA 250,2021,Jeep,Yes,Petrol,,591300 km,4,Automatic,Front,4-May,Left wheel,Red,12.0
45801255.0,15681.0,584,HYUNDAI,Elantra LIMITEDI,2006,Sedan,No,Petrol,1.8,393600 km,4,Tiptronic,Front,4-May,Left wheel,Black,10.0
45771968.0,157.0,585,TOYOTA,Prius,2020,Sedan,Yes,,1.8,656700 km,4,Automatic,Front,4-May,Left wheel,Red,12.0
45792926.0,4000.0,-,UAZ,31514,2017,Jeep,No,Petrol,2.9,629300 km,4,Manual,4x4,4-May,Left wheel,Blue,9.0
44348840.0,17562.0,-,FIAT,500L,2007,Jeep,No,Petrol,1.4,436000 km,4,Tiptronic,Front,4-May,Left wheel,Black,12.0
45797881.0,25089.0,1347,HYUNDAI,H1,2004,Minivan,Yes,Diesel,2.5,317000 km,4,Automatic,Front,4-May,Left wheel,Yellow,4.0
45797884.0,18240.0,583,HYUNDAI,Elantra,2003,Sedan,Yes,Petrol,1.6,446153 km,4,Automatic,Front,4-May,Left wheel,Grey,4.0
45788475.0,6272.0,-,HONDA,Civic,2015,Hatchback,No,Petrol,1.5,598900 km,4,Manual,Front,2-Mar,Left wheel,Red,2.0
45771822.0,3293.0,640,AUDI,A4,2019,Sedan,Yes,Petrol,2,667072 km,4,Automatic,4x4,4-May,Left wheel,White,12.0
45809469.0,25597.0,769,CHEVROLET,Captiva,2001,Jeep,Yes,Diesel,2.2,252000 km,4,Automatic,Front,4-May,Left wheel,Grey,4.0
45634847.0,627.0,584,VOLKSWAGEN,Jetta,2020,Sedan,Yes,Diesel,1.8,655000 km,4,Automatic,Front,4-May,Left wheel,Black,12.0
45804340.0,23207.0,642,HYUNDAI,Tucson,2002,Jeep,Yes,Diesel,2,150841 km,4,Automatic,Front,4-May,Left wheel,Grey,4.0
45771113.0,3450.0,753,CHEVROLET,Equinox,2021,Jeep,Yes,Petrol,2.4,643300 km,4,Automatic,Front,4-May,Left wheel,Black,12.0
45771597.0,22266.0,-,FORD,Fusion,2001,Sedan,Yes,Petrol,1.6 Turbo,247809 km,4,Automatic,Front,4-May,Left wheel,Black,8.0
45637390.0,4704.0,-,BMW,525 Vanos,2018,Sedan,Yes,Petrol,2.5,610300 km,6,Manual,Rear,4-May,Left wheel,Green,4.0
45779209.0,27598.0,777,TOYOTA,Camry XV50,1998,Sedan,Yes,Petrol,2.5,30054 km,4,Automatic,Front,4-May,Left wheel,Black,12.0
45172501.0,10976.0,753,DODGE,Avenger,2011,Sedan,No,Petrol,2.4,522700 km,4,Tiptronic,Front,4-May,Left wheel,Blue,8.0
45784464.0,37633.0,1249,TOYOTA,RAV 4,1991,Jeep,Yes,Petrol,2.5,42800 km,4,Tiptronic,Front,4-May,Left wheel,Beige,12.0
45774072.0,9879.0,1018,MERCEDES-BENZ,E 350,2015,Sedan,Yes,Diesel,3,453400 km,6,Automatic,Rear,4-May,Left wheel,White,12.0
45815831.0,8311.0,-,BMW,328,2014,Coupe,No,Petrol,2.8,691900 km,6,Manual,Rear,2-Mar,Left wheel,Blue,2.0
45789876.0,4077.0,1094,SSANGYONG,Kyron,2019,Jeep,Yes,Diesel,2,683900 km,4,Automatic,Front,4-May,Left wheel,Silver,4.0
45757387.0,7056.0,780,BUICK,Century,2014,Sedan,Yes,Petrol,1.4,630200 km,4,Automatic,Front,4-May,Left wheel,Black,12.0
45795866.0,21326.0,1399,MERCEDES-BENZ,E 350,2006,Sedan,Yes,Petrol,3.5,117192 km,6,Automatic,Rear,4-May,Left wheel,Blue,8.0
45739714.0,9408.0,-,MERCEDES-BENZ,E 320,2011,Sedan,Yes,CNG,3.2,543900 km,6,Automatic,Rear,4-May,Left wheel,Black,6.0
45804674.0,30750.0,770,HYUNDAI,Tucson,1999,Jeep,Yes,Diesel,1.7,89700 km,4,,Front,4-May,Left wheel,White,4.0
45804342.0,27294.0,986,JEEP,Compass,1998,Jeep,Yes,Petrol,2.4,230500 km,4,Automatic,Front,4-May,Left wheel,Green,4.0
45809620.0,13877.0,585,CHEVROLET,Cruze,2012,Sedan,Yes,Petrol,1.8,506800 km,4,Automatic,Front,4-May,Left wheel,White,4.0
45806481.0,1490.0,831,JEEP,Compass,2020,Jeep,Yes,Petrol,2.4,643900 km,4,Automatic,Front,4-May,Left wheel,Black,11.0
45770571.0,21326.0,919,BMW,528,2001,Sedan,Yes,Petrol,3,342400 km,6,Tiptronic,Rear,4-May,Left wheel,Silver,12.0
45801061.0,3600.0,724,VAZ,2107,2018,Sedan,Yes,Petrol,1.7,651800 km,4,Manual,Rear,4-May,Left wheel,Silver,4.0
45796828.0,19296.0,862,HYUNDAI,H1,2003,Pickup,Yes,Diesel,2.5,325100 km,4,Automatic,Front,4-May,Left wheel,White,4.0
45758602.0,18000.0,399,HONDA,Shuttle,2005,Hatchback,No,Hybrid,1.5,205199 km,4,Automatic,4x4,4-May,Left wheel,Silver,6.0
45769589.0,11290.0,2377,TOYOTA,Tundra,2015,Jeep,Yes,Petrol,5.7,500684 km,8,Automatic,Rear,4-May,Left wheel,Grey,12.0
45801523.0,13877.0,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,432100 km,4,Automatic,Front,4-May,Left wheel,White,4.0
45809185.0,5209.0,447,HONDA,FIT,2019,Hatchback,Yes,Petrol,1.3,596100 km,4,Automatic,Front,4-May,Left wheel,Silver,4.0
45744759.0,4547.0,614,DAEWOO,Gentra,2017,Sedan,Yes,Petrol,1.2,445400 km,4,Automatic,Front,4-May,Left wheel,Blue,4.0
45812601.0,784.0,639,VOLKSWAGEN,Jetta,2022,Sedan,Yes,Petrol,2,667900 km,4,Automatic,Front,4-May,Left wheel,Silver,12.0
43469085.0,7840.0,-,NISSAN,X-Trail,2014,Universal,No,CNG,2,577500 km,4,Automatic,4x4,4-May,Right-hand drive,Black,2.0
45816009.0,13172.0,474,FIAT,500C Lounge,2007,Cabriolet,Yes,Petrol,1.4,57922 km,4,Automatic,Front,,Left wheel,Blue,6.0
45784575.0,10036.0,-,TOYOTA,Prius,2013,Hatchback,No,Hybrid,1.5,452300 km,4,Variator,Front,4-May,Left wheel,White,0.0
45656415.0,188.0,585,TOYOTA,Prius,2022,Hatchback,Yes,Hybrid,1.8,563000 km,4,Automatic,Front,4-May,Left wheel,Blue,12.0
45797386.0,28909.0,831,HYUNDAI,Elantra,1996,Sedan,Yes,LPG,1.6,277400 km,4,Automatic,Front,4-May,Left wheel,Grey,4.0
45813980.0,10663.0,586,TOYOTA,Prius,2013,Hatchback,No,Hybrid,1.8,430800 km,4,Automatic,Front,4-May,Left wheel,Blue,
41080762.0,54882.0,-,BMW,,2011,Jeep,Yes,Petrol,3.0 Turbo,104000 km,6,Tiptronic,4x4,4-May,Left wheel,Black,12.0
45791759.0,6272.0,-,SUBARU,Legacy Outback,2018,Universal,Yes,Petrol,2.5,610600 km,4,Automatic,4x4,4-May,Right-hand drive,Golden,4.0
45482091.0,23521.0,-,PORSCHE,Cayenne,2001,Jeep,Yes,Petrol,4.5 Turbo,230500 km,8,Tiptronic,4x4,4-May,Left wheel,Silver,12.0
45786695.0,3607.0,-,VOLKSWAGEN,Jetta,2021,Sedan,No,CNG,2,592300 km,4,Manual,Front,4-May,Left wheel,Black,2.0
45812925.0,9722.0,583,FORD,Fiesta,2012,Sedan,No,Petrol,1.6,521900 km,4,Automatic,Front,4-May,Left wheel,Blue,4.0
45813676.0,2979.0,919,MERCEDES-BENZ,ML 350,2022,Jeep,Yes,Diesel,3,501840 km,6,Automatic,4x4,4-May,Left wheel,White,12.0
45772044.0,14269.0,1053,TOYOTA,Sienna,2014,Sedan,Yes,Petrol,3.5,0 km,6,Automatic,Front,4-May,Left wheel,Grey,12.0
42782286.0,50178.0,-,TOYOTA,Hilux,2012,Pickup,No,Diesel,3,104000 km,6,Manual,4x4,4-May,Left wheel,White,6.0
45775251.0,17876.0,761,TOYOTA,Corolla LE,2008,Sedan,No,Petrol,1.8,312800 km,4,Automatic,Front,4-May,Left wheel,Silver,6.0
45789589.0,38574.0,-,FORD,Fusion,1992,Sedan,Yes,Plug-in Hybrid,2,0,4,Tiptronic,Front,4-May,Left wheel,White,10.0
45700887.0,21796.0,777,TOYOTA,Camry,2003,Sedan,Yes,Petrol,2.5,259300 km,4,Tiptronic,Front,4-May,Left wheel,Black,0.0
45757721.0,10349.0,308,LEXUS,CT 200h,2015,Hatchback,Yes,Hybrid,1.8,491901 km,4,Automatic,Front,4-May,Left wheel,Red,0.0
45771441.0,56136.0,1017,MERCEDES-BENZ,E 300,2017,Sedan,,Petrol,2,50963 km,4,Automatic,Rear,4-May,Left wheel,Black,12.0
45797186.0,35005.0,1091,HYUNDAI,H1,1993,Minivan,Yes,Diesel,2.5,88800 km,4,Automatic,Front,4-May,Left wheel,White,4.0
